,zpid,crowd_price
0,29342724,60167.306111281396
1,29406017,42274.92277295262
2,29343531,46110.04356955314
3,29336725,32709.33616678993
4,29499508,30932.40340389843
5,29438175,20936.820431188513
6,70334878,24887.209939399552
7,64595506,23014.733866622766
8,29467740,16123.68470379174
9,29415943,24227.492321717127
10,119632873,22614.451201691096
11,29326987,21151.438391642634
12,29504684,35073.47800874311
13,29547996,32380.728424279947
14,29359564,45824.67414794753
15,29324885,25254.38231371002
16,29479012,25503.34048301576
17,251029152,27184.67476919717
18,144274064,24729.846769490727
19,29489871,25691.54396925519
20,29483136,20767.407820394925
21,29385301,49744.32250726526
22,64918941,43633.11881312844
23,29462917,23323.896462672492
24,29440165,28392.03535549402
25,29477412,26464.079045093764
26,29346360,51095.645430095974
27,29507234,32050.7523116589
28,70345882,21016.49400293262
29,29447895,20363.871468271984
30,29363305,34774.03880175963
31,70352477,35724.67040149782
32,125891561,38171.488321684614
33,29501313,27671.92024994814
34,29348322,56290.90014700769
35,96633691,35768.90548934369
36,70354403,32002.356832673868
37,29447517,55876.91837602956
38,29372422,21678.066131362408
39,29425665,22480.244807277304
40,64644454,31589.266839227435
41,29372784,34470.97620563536
42,29449407,32072.75879694578
43,29329925,19656.166877187068
44,29402067,19868.31535541331
45,29409311,14748.199142446549
46,251029884,33627.595378797436
47,29480337,16907.209679868407
48,29505812,17868.621457690093
49,250400244,76493.0867020153
50,80082495,28255.41324063038
51,29500797,34367.77288723822
52,29422970,19199.585409871663
53,29508276,18430.22536593171
54,29384545,21941.420245376594
55,70334745,34771.66424639136
56,29344952,32878.291802372536
57,29503676,24289.565137119556
58,29323405,25449.041864535702
59,2081332192,27899.767453617318
60,60135620,23080.74865739387
61,29406966,26753.935120383994
62,64518113,91165.61609405908
63,29359192,25909.721146058546
64,29359288,55916.602625312546
65,28596591,21842.039145984018
66,29412814,29034.0253237302
67,89550576,32884.420238466606
68,70334994,36987.46961817272
69,29435895,17063.506634171627
70,29485382,32672.594145894323
71,83821428,38190.31675195406
72,119624493,36412.572218558525
73,29507452,44369.41712434639
74,29481114,31827.269967147855
75,80098520,29489.3342834683
76,29406129,27444.934355279016
77,29420524,18838.93481785321
78,251027723,31380.4172663453
79,241929891,26716.579492746438
80,29423639,33492.749554103204
81,58315633,25524.09472419331
82,83821490,18513.93204051914
83,29587049,30892.5380507216
84,70341841,24162.90237909903
85,80108524,48260.750665480235
86,120896016,28191.33210633448
87,29446134,22865.374882671018
88,29411021,67124.59429057786
89,64488353,21265.281283047134
90,70345672,38654.95550848158
91,70985113,34853.29741101989
92,58304044,29397.56034700441
93,29555126,25923.147776318114
94,58300210,48707.810817518985
95,94641990,42185.784334874756
96,29558277,25449.90346756069
97,29347420,19367.290814267002
98,29408964,24754.59287614314
99,29500958,20779.558912384742
100,29501220,18550.43455303843
101,79980779,31928.13727232556
102,89551733,43545.37397538871
103,67011042,24288.278810045085
104,29514304,23576.063875350388
105,29462293,17937.449441117005
106,70352549,33263.79175248323
107,29359702,28878.55705819377
108,79982258,24761.252504860207
109,124904127,32646.569177725447
110,29431539,40909.25798752911
111,80087613,60023.97123401412
112,29414990,21935.026646675193
113,119632356,35361.708063318256
114,241932874,29950.102299539078
115,29480405,18717.55603395829
116,29444815,22571.9128255889
117,29481225,26642.258996266082
118,58265906,34258.62415906004
119,111372154,32754.463516027583
120,89549485,34504.23535938848
121,29411366,21236.529955201047
122,29473694,25056.888644432343
123,29497510,16331.668337039137
124,29425683,14644.395075390074
125,29386241,17505.410724550704
126,70345944,44015.09646618663
127,145656494,43310.07962677203
128,89546723,30498.213065441007
129,2077718915,26306.269401215843
130,241933182,17700.459199177014
131,29382367,18969.781138498976
132,29405503,23412.45772395744
133,241933341,21358.904602573144
134,29435195,14908.68373170363
135,29339166,28475.255823789772
136,119616658,34682.312856149794
137,70337292,41823.76494508352
138,125903747,26710.84570563056
139,29491371,21612.14496061986
140,29375075,128099.63809939958
141,29405675,40192.580276049404
142,29450955,21007.861853886607
143,202168738,69393.20632774117
144,29426777,18981.828608166772
145,29417773,35829.86623375136
146,29418125,16757.27745127441
147,29340229,70143.58404242533
148,29514379,37402.62215023434
149,70335864,20933.414204608976
150,29510965,23159.29673205029
151,29357176,48997.27610424212
