,zpid,crowd_price
0,29342724,407268.4210526316
1,29406017,189629.1875
2,29343531,559698.0555555555
3,29336725,429131.25
4,29499508,431091.5833333333
5,29438175,335357.14285714284
6,70334878,351417.76923076925
7,64595506,299923.5294117647
8,29467740,187864.46666666667
9,29415943,329476.3333333333
10,119632873,361155.4666666667
11,29326987,303500.0
12,29504684,389714.05263157893
13,29547996,391752.05263157893
14,29359564,416642.0
15,29324885,289661.53846153844
16,29479012,321392.6111111111
17,251029152,417028.7368421053
18,144274064,366675.0
19,29489871,180121.58823529413
20,29483136,235692.7857142857
21,29385301,511209.77777777775
22,64918941,502352.9411764706
23,29462917,320626.6666666667
24,29440165,306675.8333333333
25,29477412,299449.9
26,29346360,482920.29411764705
27,29507234,341062.5
28,70345882,223637.5
29,29447895,270437.0833333333
30,29363305,418950.5
31,70352477,534023.0
32,125891561,361277.77777777775
33,29501313,287250.0
34,29348322,655847.4117647059
35,96633691,565683.3333333334
36,70354403,403066.6666666667
37,29447517,373305.1666666667
38,29372422,260654.53846153847
39,29425665,303713.26666666666
40,64644454,477749.9166666667
41,29372784,472537.6111111111
42,29449407,320187.7368421053
43,29329925,231625.66666666666
44,29402067,300009.9285714286
45,29409311,148567.26666666666
46,251029884,484743.75
47,29480337,215593.75
48,29505812,271368.75
49,250400244,686225.052631579
50,80082495,344639.0
51,29500797,376420.94444444444
52,29422970,254793.33333333334
53,29508276,253537.6923076923
54,29384545,275454.54545454547
55,70334745,387792.3076923077
56,29344952,506007.6923076923
57,29503676,391466.6666666667
58,29323405,353480.1052631579
59,2081332192,345818.1818181818
60,60135620,331690.70588235295
61,29406966,374083.3157894737
62,64518113,1148494.4444444445
63,29359192,303892.0
64,29359288,716121.0
65,28596591,287411.07692307694
66,29412814,287877.05263157893
67,89550576,374570.22222222225
68,70334994,428425.0
69,29435895,203531.25
70,29485382,249192.84210526315
71,83821428,489108.7894736842
72,119624493,401767.0
73,29507452,334435.63157894736
74,29481114,365772.4736842105
75,80098520,284125.0
76,29406129,250721.35714285713
77,29420524,186879.1875
78,251027723,322846.1538461539
79,241929891,377175.0
80,29423639,372600.0
81,58315633,377354.875
82,83821490,197958.66666666666
83,29587049,438454.3333333333
84,70341841,409674.0833333333
85,80108524,787172.4210526316
86,120896016,336514.1111111111
87,29446134,278878.94736842107
88,29411021,352129.3157894737
89,64488353,236173.33333333334
90,70345672,323865.3846153846
91,70985113,483262.5
92,58304044,295014.8333333333
93,29555126,313966.6666666667
94,58300210,447659.1111111111
95,94641990,563641.7058823529
96,29558277,403750.0
97,29347420,259266.0
98,29408964,364964.28571428574
99,29500958,252333.33333333334
100,29501220,211472.72727272726
101,79980779,535486.75
102,89551733,381414.6666666667
103,67011042,300250.0
104,29514304,277078.5714285714
105,29462293,201214.2857142857
106,70352549,463363.63636363635
107,29359702,364257.14285714284
108,79982258,313492.85714285716
109,124904127,524433.3333333334
110,29431539,301714.8333333333
111,80087613,258178.57142857142
112,29414990,220114.2857142857
113,119632356,520647.0588235294
114,241932874,258344.66666666666
115,29480405,161731.46153846153
116,29444815,290269.23076923075
117,29481225,312007.14285714284
118,58265906,479483.35714285716
119,111372154,404466.6666666667
120,89549485,403923.1666666667
121,29411366,209178.5
122,29473694,237466.66666666666
123,29497510,169427.7142857143
124,29425683,130729.75
125,29386241,178641.17647058822
126,70345944,575296.5263157894
127,145656494,431780.4117647059
128,89546723,307839.7894736842
129,2077718915,371958.3333333333
130,241933182,170344.23076923078
131,29382367,228588.88888888888
132,29405503,169887.2857142857
133,241933341,339869.54545454547
134,29435195,204883.33333333334
135,29339166,360236.3888888889
136,119616658,456525.94444444444
137,70337292,563280.2941176471
138,125903747,324264.6666666667
139,29491371,459384.6153846154
140,29375075,521428.0
141,29405675,262758.71428571426
142,29450955,285415.3846153846
143,202168738,824925.0
144,29426777,213969.23076923078
145,29417773,445235.82352941175
146,29418125,221650.0
147,29340229,255157.8947368421
148,29514379,328974.3076923077
149,70335864,254146.15384615384
150,29510965,313023.07692307694
151,29357176,585607.7368421053
