,workerId,quality
0,1.0,1.2421881985911436e-05
1,2.0,9.718152210243217e-06
2,3.0,3.924963426655533e-06
3,4.0,3.5680345202523953e-06
4,5.0,1.6001213289357993e-06
5,,
6,,
